Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Philadelphia Eagles,8,96,544,30.2,17.7,5.7,27.3,Own 27.3,2:27,1.78
2,San Francisco 49ers,9,94,586,41.5,12.8,6.2,35.9,Own 27.4,3:01,2.44
3,Los Angeles Rams,8,93,558,35.5,11.8,6,34,Own 29.1,2:43,2.1
4,Tampa Bay Buccaneers,8,91,540,47.3,7.7,5.9,32.3,Own 31.1,2:39,2.65
5,Dallas Cowboys,8,91,606,36.3,19.8,6.7,34.8,Own 24.6,2:26,1.97
6,Chicago Bears,8,90,535,33.3,11.1,5.9,27.6,Own 29.3,2:43,1.71
7,New York Jets,8,88,504,22.7,10.2,5.7,23.5,Own 24.1,2:29,1
8,Cincinnati Bengals,8,87,596,43.7,11.5,6.9,32.9,Own 29.0,3:04,2.23
9,Atlanta Falcons,8,86,583,48.8,8.1,6.8,37.3,Own 28.3,2:57,2.49
10,Denver Broncos,7,85,466,34.1,17.6,5.5,26.6,Own 28.3,2:26,1.73
11,Los Angeles Chargers,7,84,520,38.1,10.7,6.2,34.5,Own 26.2,2:42,2.1
12,Green Bay Packers,8,81,523,50.6,3.7,6.5,39.1,Own 28.9,3:17,3
13,Cleveland Browns,8,81,497,42,12.3,6.1,34.2,Own 30.1,2:53,2.44
14,New York Giants,8,81,490,34.6,18.5,6,28.8,Own 30.5,2:45,1.63
15,Kansas City Chiefs,8,80,536,51.3,6.3,6.7,41,Own 29.2,3:05,2.94
16,Washington Football Team,7,80,461,30,11.3,5.8,25.5,Own 28.6,2:35,1.7
17,Seattle Seahawks,7,79,456,46.8,8.9,5.8,36.7,Own 32.1,2:41,3.03
18,Baltimore Ravens,7,79,455,43,11.4,5.8,31.8,Own 33.5,2:45,2.3
19,Buffalo Bills,8,79,523,45.6,12.7,6.6,37.7,Own 29.6,3:06,2.53
20,Miami Dolphins,7,79,437,41.8,11.4,5.5,28.7,Own 31.9,2:41,2.16
21,Pittsburgh Steelers,7,78,466,42.3,9,6,30.3,Own 32.1,2:55,2.5
22,Arizona Cardinals,7,78,491,44.9,11.5,6.3,37.6,Own 26.2,2:37,2.63
23,Minnesota Vikings,7,75,413,38.7,16,5.5,34.1,Own 23.2,2:34,2.39
24,Detroit Lions,7,75,454,42.7,8,6.1,32.7,Own 29.7,2:40,2.35
25,Carolina Panthers,8,75,500,48,12,6.7,38.5,Own 26.6,3:14,2.4
26,New Orleans Saints,7,74,480,50,6.8,6.5,36.6,Own 31.5,3:03,2.69
27,Tennessee Titans,7,72,475,50,5.6,6.6,39.3,Own 29.3,2:45,2.94
28,Indianapolis Colts,7,72,465,45.8,9.7,6.5,35.3,Own 31.5,3:06,2.32
29,Houston Texans,7,71,427,43.7,9.9,6,36.2,Own 26.6,2:39,2.38
30,New England Patriots,7,70,454,34.3,21.4,6.5,35,Own 26.7,3:00,1.77
31,Jacksonville Jaguars,7,70,452,37.1,12.9,6.5,34.3,Own 27.1,2:46,2.14
32,Las Vegas Raiders,7,68,481,52.9,11.8,7.1,39,Own 27.6,3:22,2.76
,League Total,,2582,15974,41.2,11.6,6.2,33.6,Own 28.7,2:48,2.27
