Tm,G,W,L,PF,Total Yds,Total Ply,Y/P,TO,FL,Total 1stD,Cmp,Att,Pass Yds,Pass TD,Int,Pass NY/A,Pass 1stD,Rush Att,Rush Yds,Rush  TD,Rush Y/A,Rush 1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Arizona Cardinals,7,5,2,203,2934,478,6.1,9,2,181,169,253,1809,13,7,6.9,93,216,1125,12,5.2,70,55,408,18,44.9,11.5,86.71
Atlanta Falcons,8,2,6,209,3208,562,5.7,7,3,195,211,317,2339,12,4,7,127,228,869,10,3.8,53,46,402,15,48.8,8.1,85.53
Baltimore Ravens,6,5,1,179,2053,361,5.7,5,2,114,104,165,1067,10,3,5.9,62,181,986,7,5.4,46,37,319,6,44.8,7.5,38.13
Buffalo Bills,7,5,2,174,2637,448,5.9,10,6,167,178,264,1958,16,4,7.1,99,172,679,4,3.9,52,48,471,16,46.4,13,81.96
Carolina Panthers,8,3,5,179,2888,479,6,9,3,173,185,261,2003,9,6,7.2,104,202,885,9,4.4,49,46,373,20,48,12,76.41
Chicago Bears,7,5,2,138,2156,450,4.8,9,0,138,174,278,1567,12,9,5.3,89,157,589,2,3.8,35,51,483,14,31.6,11.4,-1.17
Cincinnati Bengals,7,1,5,163,2528,507,5,10,5,166,196,294,1836,9,5,5.7,115,185,692,7,3.7,40,45,340,11,41.8,12.7,27.37
Cleveland Browns,7,5,2,200,2551,438,5.8,9,2,152,133,211,1452,16,7,6.5,84,216,1099,8,5.1,56,41,351,12,42.7,12,61.04
Dallas Cowboys,7,2,5,176,2459,443,5.6,13,8,162,174,264,1802,8,5,6.4,103,161,657,8,4.1,45,35,300,14,38,20.3,43.29
Denver Broncos,6,2,4,116,1937,392,4.9,14,4,115,119,206,1255,6,10,5.6,61,168,682,5,4.1,36,28,264,18,33.3,19.4,-28.4
Detroit Lions,6,3,3,156,2125,377,5.6,4,0,130,127,204,1474,10,4,6.8,76,159,651,7,4.1,36,39,352,18,46,6.3,56.52
Green Bay Packers,6,5,1,197,2362,383,6.2,2,0,138,137,208,1569,17,2,7.3,85,167,793,6,4.7,39,30,279,14,51.6,3.2,91.7
Houston Texans,7,1,6,166,2573,413,6.2,8,3,141,166,240,1979,15,5,7.6,100,151,594,4,3.9,33,30,249,8,43.7,9.9,57.78
Indianapolis Colts,6,4,2,157,2179,372,5.9,7,1,128,140,202,1591,7,6,7.6,78,164,588,5,3.6,36,37,378,14,45.9,11.5,42.25
Jacksonville Jaguars,7,1,6,154,2401,440,5.5,10,5,147,176,267,1725,13,5,5.9,95,150,676,5,4.5,36,43,379,16,37.1,12.9,32.01
Kansas City Chiefs,7,6,1,218,2788,455,6.1,5,4,164,161,244,1845,16,1,7.2,99,200,943,7,4.7,52,41,348,13,51.4,7.1,101.96
Las Vegas Raiders,6,3,3,171,2344,392,6,8,6,138,152,211,1663,13,2,7.5,82,170,681,6,4,42,31,252,14,52.5,13.1,74.38
Los Angeles Chargers,6,2,4,149,2435,420,5.8,7,4,136,141,215,1688,12,3,7.4,79,193,747,5,3.9,45,31,240,12,36.1,9.7,38.77
Los Angeles Rams,7,5,2,176,2700,453,6,8,4,157,151,223,1729,12,4,7.5,84,222,971,10,4.4,65,28,233,8,39,9.1,76.02
Miami Dolphins,6,3,3,160,2126,374,5.7,7,0,136,140,199,1495,10,7,7.2,81,165,631,6,3.8,40,28,220,15,47.7,10.8,50.23
Minnesota Vikings,6,1,5,155,2245,356,6.3,12,2,133,113,175,1410,11,10,7.5,69,167,835,8,5,52,27,206,12,36.8,17.6,44.09
New England Patriots,6,2,4,115,2113,380,5.6,14,3,135,116,180,1183,3,11,6.1,69,187,930,8,5,55,15,169,11,32.8,23,11.35
New Orleans Saints,6,4,2,180,2307,392,5.9,5,2,143,156,215,1594,11,3,7.1,89,169,713,9,4.2,46,39,508,8,50.8,8.2,78.16
New York Giants,7,1,6,122,1977,404,4.9,13,6,127,143,231,1290,5,7,5.1,77,153,687,4,4.5,34,37,256,16,34.3,18.6,-21.1
New York Jets,7,0,7,85,1851,433,4.3,8,1,116,135,240,1119,4,7,4.2,56,169,732,3,4.3,44,51,494,16,22.1,10.4,-64.28
Philadelphia Eagles,7,2,4,163,2418,474,5.1,13,3,155,164,279,1588,10,10,5.2,86,167,830,8,5,50,41,347,19,31.8,15.3,4.11
Pittsburgh Steelers,6,6,0,183,2152,407,5.3,7,3,129,147,215,1374,13,4,6.2,75,184,778,8,4.2,44,37,324,10,44.1,8.8,62.08
San Francisco 49ers,7,4,3,181,2678,455,5.9,9,2,158,157,234,1714,10,7,6.8,98,202,964,12,4.8,46,42,402,14,43.2,12.2,59.48
Seattle Seahawks,6,5,1,203,2154,319,6.8,6,0,121,130,181,1480,17,6,7.6,76,124,674,5,5.4,41,26,217,4,45.6,10.3,84.49
Tampa Bay Buccaneers,7,5,2,222,2603,457,5.7,7,3,156,176,269,1863,18,4,6.7,95,180,740,8,4.1,41,46,430,20,46.3,7.5,71.3
Tennessee Titans,6,5,1,188,2408,398,6.1,3,1,143,139,204,1537,15,2,7.3,84,186,871,8,4.7,46,33,304,13,52.4,4.8,101.94
Washington Football Team,7,2,5,133,2049,449,4.6,10,6,135,153,243,1348,8,4,5,79,180,701,8,3.9,42,34,277,14,30,11.3,-6.69
